Manufacturer,Name,Speed,Glide,Turn,Fade,Diameter,Height,RimDepth,RimWidth
Discraft,Sting,6.8,4.9,-2.2,0.9,21.4,1.8,1.2,1.6
Discraft,Talon,8.0,3.0,0.9,3.0,21.0,1.5,1.1,1.8
Discraft,Tracker,7.9,4.4,-0.5,3.3,21.2,1.7,1.2,1.3
Discraft,Undertaker,8.9,5.0,-1.0,2.1,21.1,1.9,1.2,2.0
Discraft,Vulture,9.7,4.8,-0.1,2.0,21.4,1.6,1.2,1.8
Discraft,XL,7.9,5.0,-1.0,1.9,21.1,2.1,1.2,1.7
Discraft,Xpress,7.9,4.9,-3.0,1.0,21.1,1.8,1.2,1.7
Discraft,XS,8.0,4.9,-2.0,3.0,21.1,1.8,1.2,1.8
Discraft,Xtreme,6.0,3.0,1.0,4.0,21.0,1.9,1.2,1.7
Discraft,Zombee,6.0,5.0,-1.1,1.0,21.6,2.1,1.2,1.6
Discraft,Archer,5.7,4.8,-3.3,1.0,21.4,1.8,1.2,1.2
Discraft,Buzzz,5.0,4.3,-0.7,1.0,21.7,1.9,1.3,1.2
Discraft,Buzzz GT,5.0,4.9,0.0,1.3,21.7,1.9,1.3,1.2
Discraft,Buzzz OS,5.0,3.9,0.0,3.0,21.7,1.7,1.2,1.3
Discraft,Buzzz SS,5.0,4.1,-1.9,1.0,21.6,2.1,1.3,1.3
Discraft,Comet,4.0,5.2,-1.8,0.9,21.8,2.1,1.3,1.2
Discraft,Drone,5.0,3.4,0.5,3.9,21.5,2.0,1.3,1.5
Discraft,Glide,5.9,5.0,-3.0,1.9,21.5,2.0,1.3,1.5
Discraft,Hawk,4.0,5.0,-1.8,1.9,21.5,1.8,1.2,1.2
Discraft,Hornet,5.0,4.9,0.0,3.8,21.5,1.9,1.3,1.3
Discraft,Impact,5.1,5.0,-1.9,1.9,21.6,2.0,1.3,1.3
Discraft,Malta,5.0,4.0,0.5,2.9,21.3,1.7,1.3,1.3
Discraft,Meteor,4.4,5.0,-2.8,1.0,21.5,2.0,1.3,1.3
Discraft,Nebula,5.0,4.0,-0.5,2.0,21.3,2.0,1.3,1.3
Discraft,Sol,4.1,4.8,-2.9,0.3,20.0,2.3,1.9,1.8
Discraft,Stratus,5.0,4.9,-3.0,1.0,21.4,1.8,1.2,1.2
Discraft,Wasp,5.0,4.0,0.0,2.4,21.6,1.8,1.3,1.2
Discraft,APX,2.0,3.0,-1.0,0.9,21.0,2.3,1.4,0.9
Discraft,Banger GT,2.0,3.0,0.0,1.0,21.2,2.0,1.6,1.0
Discraft,Challenger,2.0,3.0,0.0,1.9,21.0,2.2,1.6,1.0
Discraft,Challenger OS,2.9,4.8,0.0,2.6,21.1,2.0,1.5,1.0
Discraft,Challenger SS,2.0,3.9,-0.8,1.6,21.0,2.2,1.6,1.0
Discraft,Fierce,3.0,4.0,-1.9,0.0,21.0,2.3,1.4,1.0
Discraft,Focus,2.0,3.0,-1.0,1.7,21.1,2.1,1.6,1.0
Discraft,Luna,3.0,3.0,-0.1,2.3,21.1,2.0,1.4,1.1
Discraft,Magnet,2.0,3.0,-1.0,1.8,21.2,2.0,0.8,0.8
Discraft,Putt'r,2.0,3.1,-2.0,0.9,21.0,2.4,1.6,0.9
Discraft,Rattler,2.0,3.1,-1.0,1.0,21.2,2.2,1.6,0.6
Discraft,Ringer,3.0,3.8,0.0,2.0,21.0,1.8,1.2,0.9
Discraft,Ringer GT,3.0,2.9,0.0,2.8,21.1,1.7,1.1,1.0
Discraft,Roach,2.1,4.0,-0.3,1.0,21.1,2.0,1.5,1.1
Discraft,Soft Magnet,2.0,3.1,-1.0,1.8,21.2,2.0,1.4,0.8
Discraft,Zeppelin,2.5,6.0,-1.0,0.0,22.1,2.1,1.6,1.0
Discraft,Zone,3.9,3.0,0.0,3.0,21.1,2.0,1.3,1.2
Disctroyer,Starling,12.9,5.0,-2.0,2.0,21.0,1.7,1.2,2.4
Disctroyer,Stork,8.0,5.0,0.0,1.1,21.3,1.7,1.2,1.9
Disctroyer,Skylark,5.0,4.0,0.0,2.0,21.7,1.9,1.5,1.4
Disctroyer,Sparrow,3.0,3.0,0.0,2.0,21.3,1.9,1.6,1.1
Divergent-Discs,Basilisk,12.0,5.9,-5.1,0.9,21.1,2.0,1.2,2.3
Divergent-Discs,Kraken,6.1,5.0,-2.0,1.0,21.0,1.7,1.1,1.6
Divergent-Discs,Kapre,5.0,5.1,-1.4,1.1,21.7,1.9,1.4,1.4
Divergent-Discs,Leviathan,5.0,4.0,-3.9,0.1,21.3,1.9,1.1,1.4
Divergent-Discs,Alpas,3.7,3.9,-3.5,1.0,21.0,1.9,1.2,1.2
Divergent-Discs,Narwhal,3.0,3.1,-1.8,0.5,21.0,2.3,1.2,1.2
Divergent-Discs,Nuno,3.0,3.9,-0.8,1.1,21.2,2.0,1.4,1.1
Dynamic-Discs,Captain,12.7,4.9,-2.0,2.0,21.1,1.6,1.1,2.3
Dynamic-Discs,Criminal,10.0,3.1,0.9,4.1,21.2,1.5,1.5,2.1
Dynamic-Discs,Defender,13.0,4.9,0.0,3.1,21.0,1.6,1.1,2.3
Dynamic-Discs,Enforcer,12.0,4.1,0.3,3.9,21.1,1.8,1.1,2.2
Dynamic-Discs,Freedom,13.8,5.0,-2.8,2.7,21.2,1.6,1.1,2.4
Dynamic-Discs,Raider,12.9,5.0,-0.6,2.9,21.2,1.5,1.1,2.3
Dynamic-Discs,Renegade,10.9,5.0,-2.1,2.6,21.1,1.7,1.1,2.1
Dynamic-Discs,Sergeant,11.0,4.0,0.0,2.6,21.1,1.7,2.1,2.1
Dynamic-Discs,Sheriff,12.9,5.1,-1.0,2.0,21.2,1.6,1.1,2.2
Dynamic-Discs,Trespass,11.9,5.0,-1.1,2.8,21.1,1.9,1.1,2.1
Dynamic-Discs,Breakout,8.0,5.1,-1.2,1.5,21.0,1.6,1.1,1.9
Dynamic-Discs,Convict,9.0,4.0,-0.7,2.8,21.2,1.4,1.1,2.0
Dynamic-Discs,Escape,9.0,5.2,-0.9,1.9,21.1,2.0,1.0,2.0
Dynamic-Discs,Evader,7.0,4.1,0.0,2.5,21.2,1.9,1.1,1.8
Dynamic-Discs,Felon,9.0,3.6,0.2,3.9,21.2,1.8,1.1,2.0
Dynamic-Discs,Getaway,9.0,5.1,-0.5,2.8,21.1,1.8,1.1,2.0
Dynamic-Discs,Maverick,7.0,4.3,-1.6,1.8,21.2,1.8,1.1,1.7
Dynamic-Discs,Thief,8.0,5.0,-1.4,1.7,21.2,1.8,1.1,1.9
Dynamic-Discs,Vandal,9.0,5.0,-1.4,2.0,21.2,1.7,1.1,1.9
Dynamic-Discs,Witness,8.0,6.0,-3.0,1.0,21.1,1.8,1.1,1.9
Dynamic-Discs,Bounty,4.0,5.1,-1.5,0.5,21.9,1.8,1.2,1.2
Dynamic-Discs,EMac Truth,5.0,5.0,-0.2,1.9,21.7,1.8,1.2,1.5
Dynamic-Discs,Evidence,5.0,5.1,-1.0,0.3,21.7,1.8,1.2,1.4
Dynamic-Discs,Fugitive,5.0,5.0,-0.2,1.0,21.8,2.1,1.3,1.4
Dynamic-Discs,Justice,5.0,2.1,0.5,4.1,21.3,1.7,1.3,1.5
Dynamic-Discs,Patrol,5.0,5.0,-3.0,0.6,21.7,1.6,1.2,1.4
Dynamic-Discs,Proof,5.0,5.0,-3.1,0.9,21.5,1.5,1.1,1.3
Dynamic-Discs,Suspect,4.0,3.1,-0.1,2.8,21.3,1.6,1.2,1.2
Dynamic-Discs,Truth,5.0,5.1,-0.7,1.4,21.7,1.7,1.2,1.5
Dynamic-Discs,Verdict,5.1,4.1,-0.1,3.3,21.7,1.7,1.2,1.5
Dynamic-Discs,Warrant,5.0,5.0,-1.9,0.1,21.7,1.8,1.4,1.2
Dynamic-Discs,Deputy,3.0,4.0,-1.4,0.0,21.2,2.0,1.5,1.1
Dynamic-Discs,EMac Judge ,2.0,4.0,0.0,1.0,21.2,2.0,1.4,1.1
Dynamic-Discs,Gavel,3.0,5.0,-1.8,0.4,21.3,1.9,1.4,1.4
Dynamic-Discs,Guard,2.0,5.0,0.0,0.5,21.0,2.1,1.6,0.9
Dynamic-Discs,Judge ,2.0,4.0,0.0,0.9,21.2,2.0,1.4,1.1
Dynamic-Discs,Marshal,3.0,3.6,-0.1,1.1,21.2,2.0,1.6,1.1
Dynamic-Discs,Slammer,2.6,2.1,0.0,3.0,21.2,1.7,1.1,1.1
Dynamic-Discs,Warden,2.1,3.6,0.0,0.5,21.2,2.0,1.5,1.1
EV-7,Penrose,2.0,4.0,0.0,1.9,21.1,2.1,1.5,1.1
EV-7,Phi,1.4,1.6,0.0,0.2,21.0,2.0,1.5,1.1
Elevation-Disc-Golf,Interceptor,4.8,3.6,0.0,3.0,21.1,1.5,1.1,1.4
Elevation-Disc-Golf,Koi,2.9,3.9,-0.9,0.1,21.1,1.8,1.4,1.1
Fourth-Circle-Discs,Firehawk,8.0,5.0,-2.0,1.0,21.2,1.8,1.1,2.3
Fourth-Circle-Discs,Taipan,13.0,5.0,0.0,3.1,21.1,1.6,1.1,2.4
Fourth-Circle-Discs,Dingo,5.0,4.8,0.0,3.0,21.5,1.6,1.3,1.3
Fourth-Circle-Discs,Huntsman,2.0,3.0,0.0,2.5,21.3,2.4,1.6,1.1
Full-Turn,Cruise,12.8,4.0,-2.0,2.6,21.1,1.6,1.1,2.3
Full-Turn,Traveler,9.0,3.9,0.0,2.0,21.1,1.7,1.2,1.9
Full-Turn,Voyage,12.2,4.9,0.0,3.1,21.1,1.8,1.1,2.3
Full-Turn,Drifter,8.9,4.0,-1.0,1.9,21.1,1.7,1.2,1.9
Full-Turn,Shortcut,7.0,3.0,-3.0,2.0,21.3,1.9,1.3,1.1
Full-Turn,Expedition,1.0,1.0,0.0,0.0,21.0,1.7,1.2,2.1
Full-Turn,Navigator,5.0,4.0,-1.1,1.9,21.6,1.7,1.5,1.4
Full-Turn,Manifest,1.0,1.0,0.0,0.0,21.0,2.0,1.5,1.0
Full-Turn,Passport,3.9,3.9,-0.9,1.0,21.2,2.1,1.6,1.0
Galaxy-Disc-Golf,Meteorite,11.0,3.1,-0.5,2.1,21.1,1.8,1.1,2.1
Galaxy-Disc-Golf,Shooting Star,7.0,5.0,-2.1,0.9,21.0,1.8,1.2,1.8
Galaxy-Disc-Golf,Orbit,4.9,4.0,0.0,2.6,21.2,2.1,1.3,1.0
