Manufacturer,Name,Speed,Glide,Turn,Fade,Diameter,Height,RimDepth,RimWidth,Purchase Url
MVP,Wave,11.3,5.1,-1.9,1.8,21.1,1.4,1.1,2.2,https://infinitediscs.com/MVP-Wave?tag=3c8c6529
MVP,Amp,8.0,5.0,-1.3,1.2,21.0,1.7,1.1,1.9,https://infinitediscs.com/MVP-Amp?tag=3c8c6529
MVP,Cypher,7.0,3.0,-3.0,2.0,21.2,1.5,1.2,1.8,https://infinitediscs.com/MVP-Cypher?tag=3c8c6529
MVP,Relay,6.1,5.0,-2.3,1.1,21.1,1.5,1.2,1.7,https://infinitediscs.com/MVP-Relay?tag=3c8c6529
MVP,Resistor,6.6,3.8,0.0,3.3,21.1,1.4,1.1,1.7,https://infinitediscs.com/MVP-Resistor?tag=3c8c6529
MVP,Servo,6.6,4.9,-0.9,2.0,21.1,1.4,1.2,1.8,https://infinitediscs.com/MVP-Servo?tag=3c8c6529
MVP,Shock,8.0,5.0,-0.1,2.5,21.1,1.6,1.2,1.9,https://infinitediscs.com/MVP-Shock?tag=3c8c6529
MVP,Signal,6.0,5.0,-3.1,1.0,21.1,1.5,1.2,1.2,https://infinitediscs.com/MVP-Signal?tag=3c8c6529
MVP,Switch,6.7,5.0,-1.5,1.1,21.1,1.4,1.2,1.8,https://infinitediscs.com/MVP-Switch?tag=3c8c6529
MVP,Volt,8.1,4.9,-0.6,2.1,21.1,1.6,1.1,2.0,https://infinitediscs.com/MVP-Volt?tag=3c8c6529
MVP,Axis,5.0,4.9,-0.9,1.0,21.8,2.5,1.3,1.3,https://infinitediscs.com/MVP-Axis?tag=3c8c6529
MVP,Deflector,5.0,3.6,0.2,4.1,21.5,2.0,1.3,1.6,https://infinitediscs.com/MVP-Deflector?tag=3c8c6529
MVP,Matrix,5.0,4.1,-0.6,2.0,21.5,1.6,1.4,1.4,https://infinitediscs.com/MVP-Matrix?tag=3c8c6529
MVP,Reactor,5.1,5.0,-0.4,1.6,21.4,1.7,1.3,1.4,https://infinitediscs.com/MVP-Reactor?tag=3c8c6529
MVP,Tangent,4.5,4.1,-0.9,1.0,21.5,2.1,1.3,1.2,https://infinitediscs.com/MVP-Tangent?tag=3c8c6529
MVP,Tensor,4.4,4.3,-0.1,2.5,21.5,2.1,1.3,1.2,https://infinitediscs.com/MVP-Tensor?tag=3c8c6529
MVP,Uplink,5.0,3.0,-2.0,2.0,21.5,1.8,1.4,1.3,https://infinitediscs.com/MVP-Uplink?tag=3c8c6529
MVP,Vector,5.0,4.0,0.0,2.3,21.7,2.1,1.3,1.3,https://infinitediscs.com/MVP-Vector?tag=3c8c6529
MVP,Vertex,4.2,4.0,-2.3,0.6,21.5,1.9,1.3,1.2,https://infinitediscs.com/MVP-Vertex?tag=3c8c6529
MVP,Anode,3.0,3.1,-0.1,0.4,21.0,2.1,1.4,1.1,https://infinitediscs.com/MVP-Anode?tag=3c8c6529
MVP,Atom,2.7,3.1,-0.3,0.8,21.1,1.9,1.4,1.1,https://infinitediscs.com/MVP-Atom?tag=3c8c6529
MVP,Entropy,3.9,2.9,0.0,3.0,21.2,2.0,1.4,1.2,https://infinitediscs.com/MVP-Entropy?tag=3c8c6529
MVP,Ion,3.0,3.5,0.0,1.2,21.2,1.9,1.6,1.1,https://infinitediscs.com/MVP-Ion?tag=3c8c6529
MVP,Nomad,2.0,3.9,-0.1,1.0,21.2,2.0,1.4,1.1,https://infinitediscs.com/MVP-Nomad?tag=3c8c6529
